NAICSIO,Industry Title,SCTG,Proportion,Description
327330,"Concrete pipe, brick, and block manufacturing",31,1,Non-metallic mineral products
327390,Other concrete product manufacturing,31,1,Non-metallic mineral products
327400,Lime and gypsum product manufacturing,13,0.5,"Other non-metallic minerals, not elsewhere classified "
327400,Lime and gypsum product manufacturing,31,0.5,Non-metallic mineral products
327910,Abrasive product manufacturing,20,1,Basic chemicals
327991,Cut stone and stone product manufacturing,31,1,Non-metallic mineral products
327992,Ground or treated mineral and earth manufacturing,31,1,Non-metallic mineral products
327993,Mineral wool manufacturing,31,1,Non-metallic mineral products
327999,Miscellaneous nonmetallic mineral products,31,1,Non-metallic mineral products
331110,Iron and steel mills and ferroalloy manufacturing,32,1,Base metal in primary or semi-finished forms and in finished basic shapes
331200,Steel product manufacturing from purchased steel,32,0.5,Base metal in primary or semi-finished forms and in finished basic shapes
331200,Steel product manufacturing from purchased steel,33,0.5,Articles of base metal
331313,Alumina refining and primary aluminum production,32,1,Base metal in primary or semi-finished forms and in finished basic shapes
331314,Secondary smelting and alloying of aluminum,32,1,Base metal in primary or semi-finished forms and in finished basic shapes
33131B,Aluminum product manufacturing from purchased aluminum,32,0.5,Base metal in primary or semi-finished forms and in finished basic shapes
33131B,Aluminum product manufacturing from purchased aluminum,33,0.5,Articles of base metal
331410,Nonferrous metal (except aluminum) smelting and refining,32,1,Base metal in primary or semi-finished forms and in finished basic shapes
331420,"Copper rolling, drawing, extruding and alloying",32,0.5,Base metal in primary or semi-finished forms and in finished basic shapes
331420,"Copper rolling, drawing, extruding and alloying",33,0.5,Articles of base metal
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",32,1,Base metal in primary or semi-finished forms and in finished basic shapes
331510,Ferrous metal foundries,32,0.5,Base metal in primary or semi-finished forms and in finished basic shapes
331510,Ferrous metal foundries,33,0.5,Articles of base metal
331520,Nonferrous metal foundries,32,0.5,Base metal in primary or semi-finished forms and in finished basic shapes
331520,Nonferrous metal foundries,33,0.5,Articles of base metal
33211A,"All other forging, stamping, and sintering",33,1,Articles of base metal
332114,Custom roll forming,33,1,Articles of base metal
332119,"Metal crown, closure, and other metal stamping (except automotive)",33,1,Articles of base metal
332200,Cutlery and handtool manufacturing,33,0.333333333,Articles of base metal
332200,Cutlery and handtool manufacturing,34,0.333333333,Machinery
332200,Cutlery and handtool manufacturing,40,0.333333333,Miscellaneous manufactured products
332310,Plate work and fabricated structural product manufacturing,33,0.333333333,Articles of base metal
332310,Plate work and fabricated structural product manufacturing,37,0.333333333,"Transportation equipment, not elsewhere classified"
332310,Plate work and fabricated structural product manufacturing,40,0.333333333,Miscellaneous manufactured products
332320,Ornamental and architectural metal products manufacturing,33,1,Articles of base metal
332410,Power boiler and heat exchanger manufacturing,34,1,Machinery
332420,Metal tank (heavy gauge) manufacturing,33,1,Articles of base metal
332430,"Metal can, box, and other metal container (light gauge) manufacturing",33,0.5,Articles of base metal
332430,"Metal can, box, and other metal container (light gauge) manufacturing",34,0.5,Machinery
332500,Hardware manufacturing,33,1,Articles of base metal
332600,Spring and wire product manufacturing,33,1,Articles of base metal
332710,Machine shops,34,1,Machinery
332720,"Turned product and screw, nut, and bolt manufacturing",33,1,Articles of base metal
332800,"Coating, engraving, heat treating and allied activities",33,1,Articles of base metal
33291A,Valve and fittings other than plumbing,33,0.5,Articles of base metal
33291A,Valve and fittings other than plumbing,37,0.5,"Transportation equipment, not elsewhere classified"
332913,Plumbing fixture fitting and trim manufacturing,33,1,Articles of base metal
332991,Ball and roller bearing manufacturing,34,1,Machinery
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",33,0.25,Articles of base metal
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",34,0.25,Machinery
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",38,0.25,Precision instruments and apparatus
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",40,0.25,Miscellaneous manufactured products
332996,Fabricated pipe and pipe fitting manufacturing,33,1,Articles of base metal
332999,Other fabricated metal manufacturing,33,1,Articles of base metal
333111,Farm machinery and equipment manufacturing,34,1,Machinery
333112,Lawn and garden equipment manufacturing,34,1,Machinery
333120,Construction machinery manufacturing,34,1,Machinery
333130,Mining and oil and gas field machinery manufacturing,34,1,Machinery
333242,Semiconductor machinery manufacturing,34,1,Machinery
33329A,Other industrial machinery manufacturing,34,1,Machinery
333314,Optical instrument and lens manufacturing,38,1,Precision instruments and apparatus
333316,Photographic and photocopying equipment manufacturing,38,1,Precision instruments and apparatus
333318,Other commercial and service industry machinery manufacturing,34,0.5,Machinery
333318,Other commercial and service industry machinery manufacturing,41,0.5,Waste and scrap
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,34,1,Machinery
333414,Heating equipment (except warm air furnaces) manufacturing,34,1,Machinery
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",34,1,Machinery
333511,Industrial mold manufacturing,34,1,Machinery
333517,Machine tool manufacturing,34,1,Machinery
333514,"Special tool, die, jig, and fixture manufacturing",34,1,Machinery
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",34,1,Machinery
333611,Turbine and turbine generator set units manufacturing,34,1,Machinery
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",35,1,"Electronic and other electrical equipment and components, and office equipment"
333613,Mechanical power transmission equipment manufacturing,34,1,Machinery
333618,Other engine equipment manufacturing,34,1,Machinery
33391A,Pump and pumping equipment manufacturing,34,0.5,Machinery
33391A,Pump and pumping equipment manufacturing,37,0.5,"Transportation equipment, not elsewhere classified"
333912,Air and gas compressor manufacturing,34,1,Machinery
333920,Material handling equipment manufacturing,34,0.5,Machinery
333920,Material handling equipment manufacturing,36,0.5,Motorized and other vehicles (includes parts)
333991,Power-driven handtool manufacturing,33,1,Articles of base metal
33399A,Other general purpose machinery manufacturing,33,0.5,Articles of base metal
33399A,Other general purpose machinery manufacturing,34,0.5,Machinery
333993,Packaging machinery manufacturing,34,1,Machinery
333994,Industrial process furnace and oven manufacturing,34,1,Machinery
33399B,Fluid power process machinery,34,1,Machinery
334111,Electronic computer manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334112,Computer storage device manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334118,Computer terminals and other computer peripheral equipment manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334210,Telephone apparatus manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334220,Broadcast and wireless communications equipment,35,1,"Electronic and other electrical equipment and components, and office equipment"
334290,Other communications equipment manufacturing,37,1,"Transportation equipment, not elsewhere classified"
334413,Semiconductor and related device manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334418,Printed circuit assembly (electronic assembly) manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
33441A,Other electronic component manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334510,Electromedical and electrotherapeutic apparatus manufacturing,38,1,Precision instruments and apparatus
334511,"Search, detection, and navigation instruments manufacturing",35,1,"Electronic and other electrical equipment and components, and office equipment"
334512,Automatic environmental control manufacturing,38,1,Precision instruments and apparatus
334513,Industrial process variable instruments manufacturing,38,1,Precision instruments and apparatus
334514,Totalizing fluid meter and counting device manufacturing,38,1,Precision instruments and apparatus
334515,Electricity and signal testing instruments manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334516,Analytical laboratory instrument manufacturing,34,1,Machinery
334517,Irradiation apparatus manufacturing,38,1,Precision instruments and apparatus
33451A,"Watch, clock, and other measuring and controlling device manufacturing",35,0.5,"Electronic and other electrical equipment and components, and office equipment"
33451A,"Watch, clock, and other measuring and controlling device manufacturing",40,0.5,Miscellaneous manufactured products
334300,Audio and video equipment manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
334610,Manufacturing and reproducing magnetic and optical media,35,1,"Electronic and other electrical equipment and components, and office equipment"
335110,Electric lamp bulb and part manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335120,Lighting fixture manufacturing,33,0.5,Articles of base metal
335120,Lighting fixture manufacturing,35,0.5,"Electronic and other electrical equipment and components, and office equipment"
335210,Small electrical appliance manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335221,Household cooking appliance manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335222,Household refrigerator and home freezer manufacturing,34,1,Machinery
335224,Household laundry equipment manufacturing,34,1,Machinery
335228,Other major household appliance manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335311,"Power, distribution, and specialty transformer manufacturing",35,1,"Electronic and other electrical equipment and components, and office equipment"
335312,Motor and generator manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335313,Switchgear and switchboard apparatus manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335314,Relay and industrial control manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335911,Storage battery manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335912,Primary battery manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335920,Communication and energy wire and cable manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335930,Wiring device manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335991,Carbon and graphite product manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
335999,All other miscellaneous electrical equipment and component manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
336111,Automobile manufacturing,36,1,Motorized and other vehicles (includes parts)
336112,Light truck and utility vehicle manufacturing,36,1,Motorized and other vehicles (includes parts)
336120,Heavy duty truck manufacturing,36,1,Motorized and other vehicles (includes parts)
336211,Motor vehicle body manufacturing,34,1,Machinery
336212,Truck trailer manufacturing,36,1,Motorized and other vehicles (includes parts)
336213,Motor home manufacturing,36,1,Motorized and other vehicles (includes parts)
336214,Travel trailer and camper manufacturing,36,1,Motorized and other vehicles (includes parts)
336310,Motor vehicle gasoline engine and engine parts manufacturing,36,1,Motorized and other vehicles (includes parts)
336320,Motor vehicle electrical and electronic equipment manufacturing,35,1,"Electronic and other electrical equipment and components, and office equipment"
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",36,1,Motorized and other vehicles (includes parts)
336350,Motor vehicle transmission and power train parts manufacturing,36,1,Motorized and other vehicles (includes parts)
336360,Motor vehicle seating and interior trim manufacturing,36,1,Motorized and other vehicles (includes parts)
336370,Motor vehicle metal stamping,36,1,Motorized and other vehicles (includes parts)
336390,Other motor vehicle parts manufacturing,36,1,Motorized and other vehicles (includes parts)
336411,Aircraft manufacturing,37,1,"Transportation equipment, not elsewhere classified"
336412,Aircraft engine and engine parts manufacturing,34,1,Machinery
336413,Other aircraft parts and auxiliary equipment manufacturing,36,1,Motorized and other vehicles (includes parts)
336414,Guided missile and space vehicle manufacturing,37,1,"Transportation equipment, not elsewhere classified"
33641A,Propulsion units and parts for space vehicles and guided missiles,34,0.5,Machinery
33641A,Propulsion units and parts for space vehicles and guided missiles,36,0.5,Motorized and other vehicles (includes parts)
336500,Railroad rolling stock manufacturing,36,1,Motorized and other vehicles (includes parts)
336611,Ship building and repairing,37,1,"Transportation equipment, not elsewhere classified"
336612,Boat building,37,1,"Transportation equipment, not elsewhere classified"
336991,"Motorcycle, bicycle, and parts manufacturing",29,1,Printed products
336992,"Military armored vehicle, tank, and tank component manufacturing",36,1,Motorized and other vehicles (includes parts)
336999,All other transportation equipment manufacturing,36,1,Motorized and other vehicles (includes parts)
337110,Wood kitchen cabinet and countertop manufacturing,39,1,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
337121,Upholstered household furniture manufacturing,39,1,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
337122,Nonupholstered wood household furniture manufacturing,39,1,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
33712N,Other household nonupholstered furniture,34,0.5,Machinery
33712N,Other household nonupholstered furniture,39,0.5,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
337127,Institutional furniture manufacturing,39,1,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,33,0.5,Articles of base metal
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,39,0.5,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
337215,"Showcase, partition, shelving, and locker manufacturing",39,1,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
337900,Other furniture related product manufacturing,33,0.5,Articles of base metal
337900,Other furniture related product manufacturing,39,0.5,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
339112,Surgical and medical instrument manufacturing,38,1,Precision instruments and apparatus
339113,Surgical appliance and supplies manufacturing,38,1,Precision instruments and apparatus
339114,Dental equipment and supplies manufacturing,21,1,Pharmaceutical products
339115,Ophthalmic goods manufacturing,38,1,Precision instruments and apparatus
339116,Dental laboratories,38,1,Precision instruments and apparatus
339910,Jewelry and silverware manufacturing,31,0.5,Non-metallic mineral products
339910,Jewelry and silverware manufacturing,40,0.5,Miscellaneous manufactured products
339920,Sporting and athletic goods manufacturing,24,1,Plastics and rubber
339930,"Doll, toy, and game manufacturing",40,1,Miscellaneous manufactured products
339940,Office supplies (except paper) manufacturing,27,0.5,"Pulp, newsprint, paper, and paperboard"
339940,Office supplies (except paper) manufacturing,40,0.5,Miscellaneous manufactured products
339950,Sign manufacturing,40,1,Miscellaneous manufactured products
339990,All other miscellaneous manufacturing,24,0.25,Plastics and rubber
339990,All other miscellaneous manufacturing,33,0.25,Articles of base metal
339990,All other miscellaneous manufacturing,34,0.25,Machinery
339990,All other miscellaneous manufacturing,40,0.25,Miscellaneous manufactured products
311111,Dog and cat food manufacturing,4,1,"Animal feed, eggs, honey, and other products of animal origin"
311119,Other animal food manufacturing,4,1,"Animal feed, eggs, honey, and other products of animal origin"
311210,Flour milling and malt manufacturing,6,1,"Milled grain products and preparations, and bakery products"
311221,Wet corn milling,6,1,"Milled grain products and preparations, and bakery products"
311224,Soybean and other oilseed processing,7,1,Other prepared foodstuffs and fats and oils
311225,Fats and oils refining and blending,7,1,Other prepared foodstuffs and fats and oils
311230,Breakfast cereal manufacturing,6,1,"Milled grain products and preparations, and bakery products"
311300,Sugar and confectionery product manufacturing,7,1,Other prepared foodstuffs and fats and oils
311410,Frozen food manufacturing,7,1,Other prepared foodstuffs and fats and oils
311420,"Fruit and vegetable canning, pickling, and drying",7,1,Other prepared foodstuffs and fats and oils
31151A,Fluid milk and butter manufacturing,7,1,Other prepared foodstuffs and fats and oils
311513,Cheese manufacturing,7,1,Other prepared foodstuffs and fats and oils
311514,"Dry, condensed, and evaporated dairy product manufacturing",5,1,"Meat, poultry, fish, seafood, and their preparations"
311520,Ice cream and frozen dessert manufacturing,7,1,Other prepared foodstuffs and fats and oils
31161A,"Animal (except poultry) slaughtering, rendering, and processing",4,0.5,"Animal feed, eggs, honey, and other products of animal origin"
31161A,"Animal (except poultry) slaughtering, rendering, and processing",5,0.5,"Meat, poultry, fish, seafood, and their preparations"
311615,Poultry processing,5,1,"Meat, poultry, fish, seafood, and their preparations"
311700,Seafood product preparation and packaging,5,0.5,"Meat, poultry, fish, seafood, and their preparations"
311700,Seafood product preparation and packaging,7,0.5,Other prepared foodstuffs and fats and oils
311810,Bread and bakery product manufacturing,6,1,"Milled grain products and preparations, and bakery products"
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",6,1,"Milled grain products and preparations, and bakery products"
311910,Snack food manufacturing,3,0.5,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
311910,Snack food manufacturing,7,0.5,Other prepared foodstuffs and fats and oils
311920,Coffee and tea manufacturing,3,1,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
311930,Flavoring syrup and concentrate manufacturing,3,1,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
311940,Seasoning and dressing manufacturing,3,0.5,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
311940,Seasoning and dressing manufacturing,7,0.5,Other prepared foodstuffs and fats and oils
311990,All other food manufacturing,7,1,Other prepared foodstuffs and fats and oils
312110,Soft drink and ice manufacturing,7,1,Other prepared foodstuffs and fats and oils
312120,Breweries,8,1,Alcoholic beverages
312130,Wineries,8,1,Alcoholic beverages
312140,Distilleries,8,1,Alcoholic beverages
312200,Tobacco manufacturing,9,1,Tobacco products
313100,"Fiber, yarn, and thread mills",3,0.5,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
313100,"Fiber, yarn, and thread mills",30,0.5,"Textiles, leather, and articles of textiles or leather"
313200,Fabric mills,30,1,"Textiles, leather, and articles of textiles or leather"
313300,Textile and fabric finishing and fabric coating mills,30,0.5,"Textiles, leather, and articles of textiles or leather"
313300,Textile and fabric finishing and fabric coating mills,24,0.5,Plastics and rubber
314110,Carpet and rug mills,30,1,"Textiles, leather, and articles of textiles or leather"
314120,Curtain and linen mills,30,1,"Textiles, leather, and articles of textiles or leather"
314900,Other textile product mills,30,0.5,"Textiles, leather, and articles of textiles or leather"
314900,Other textile product mills,34,0.5,Machinery
315000,Apparel manufacturing,24,0.5,Plastics and rubber
315000,Apparel manufacturing,30,0.5,"Textiles, leather, and articles of textiles or leather"
316000,Leather and allied product manufacturing,24,0.333333333,Plastics and rubber
316000,Leather and allied product manufacturing,30,0.333333333,"Textiles, leather, and articles of textiles or leather"
316000,Leather and allied product manufacturing,34,0.333333333,Machinery
322110,Pulp mills,27,1,"Pulp, newsprint, paper, and paperboard"
322120,Paper mills,27,1,"Pulp, newsprint, paper, and paperboard"
322130,Paperboard mills,27,1,"Pulp, newsprint, paper, and paperboard"
322210,Paperboard container manufacturing,24,0.5,Plastics and rubber
322210,Paperboard container manufacturing,28,0.5,Paper or paperboard articles
322220,Paper bag and coated and treated paper manufacturing,27,1,"Pulp, newsprint, paper, and paperboard"
322230,Stationery product manufacturing,28,1,Paper or paperboard articles
322291,Sanitary paper product manufacturing,28,1,Paper or paperboard articles
322299,All other converted paper product manufacturing,28,1,Paper or paperboard articles
323110,Printing,29,1,Printed products
323120,Support activities for printing,29,0.5,Printed products
323120,Support activities for printing,34,0.5,Machinery
324110,Petroleum refineries,17,0.5,Gasoline and aviation turbine fuel
324110,Petroleum refineries,18,0.25,Fuel oils
324110,Petroleum refineries,19,0.25,"Other coal and petroleum products, not elsewhere classified"
324121,Asphalt paving mixture and block manufacturing,19,1,"Other coal and petroleum products, not elsewhere classified"
324122,Asphalt shingle and coating materials manufacturing,31,1,Non-metallic mineral products
324190,Other petroleum and coal products manufacturing,19,1,"Other coal and petroleum products, not elsewhere classified"
325110,Petrochemical manufacturing,20,1,Basic chemicals
325120,Industrial gas manufacturing,20,1,Basic chemicals
325130,Synthetic dye and pigment manufacturing,20,1,Basic chemicals
325180,Other basic inorganic chemical manufacturing,20,1,Basic chemicals
325190,Other basic organic chemical manufacturing,20,0.5,Basic chemicals
325190,Other basic organic chemical manufacturing,23,0.5,"Other chemical products and preparations, not elsewhere classified"
325211,Plastics material and resin manufacturing,24,1,Plastics and rubber
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,24,0.5,Plastics and rubber
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,30,0.5,"Textiles, leather, and articles of textiles or leather"
325411,Medicinal and botanical manufacturing,20,1,Basic chemicals
325412,Pharmaceutical preparation manufacturing,23,1,"Other chemical products and preparations, not elsewhere classified"
325413,In-vitro diagnostic substance manufacturing,21,1,Pharmaceutical products
325414,Biological product (except diagnostic) manufacturing,21,1,Pharmaceutical products
325310,Fertilizer manufacturing,20,0.5,Basic chemicals
325310,Fertilizer manufacturing,22,0.5,Fertilizers
325320,Pesticide and other agricultural chemical manufacturing,20,1,Basic chemicals
325510,Paint and coating manufacturing,23,1,"Other chemical products and preparations, not elsewhere classified"
325520,Adhesive manufacturing,23,1,"Other chemical products and preparations, not elsewhere classified"
325610,Soap and cleaning compound manufacturing,7,0.333333333,Other prepared foodstuffs and fats and oils
325610,Soap and cleaning compound manufacturing,20,0.333333333,Basic chemicals
325610,Soap and cleaning compound manufacturing,23,0.333333333,"Other chemical products and preparations, not elsewhere classified"
325620,Toilet preparation manufacturing,23,1,"Other chemical products and preparations, not elsewhere classified"
325910,Printing ink manufacturing,23,1,"Other chemical products and preparations, not elsewhere classified"
3259A0,All other chemical product and preparation manufacturing,23,1,"Other chemical products and preparations, not elsewhere classified"
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,24,1,Plastics and rubber
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",24,1,Plastics and rubber
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",24,1,Plastics and rubber
326140,Polystyrene foam product manufacturing,24,1,Plastics and rubber
326150,Urethane and other foam product (except polystyrene) manufacturing,24,1,Plastics and rubber
326160,Plastics bottle manufacturing,24,1,Plastics and rubber
326190,Other plastics product manufacturing,24,1,Plastics and rubber
326210,Tire manufacturing,24,1,Plastics and rubber
326220,Rubber and plastics hoses and belting manufacturing,24,1,Plastics and rubber
326290,Other rubber product manufacturing,24,1,Plastics and rubber
423100,Motor vehicle and motor vehicle parts and supplies,,,
423400,Professional and commercial equipment and supplies,,,
423600,Household appliances and electrical and electronic goods,,,
423800,"Machinery, equipment, and supplies",,,
423A00,Other durable goods merchant wholesalers,,,
424200,Drugs and druggists' sundries,,,
424400,Grocery and related product wholesalers,,,
424700,Petroleum and petroleum products,,,
424A00,Other nondurable goods merchant wholesalers,,,
425000,Wholesale electronic markets and agents and brokers,,,
4200ID,Customs duties,,,
441000,Motor vehicle and parts dealers,,,
445000,Food and beverage stores,,,
452000,General merchandise stores,,,
444000,Building material and garden equipment and supplies dealers,,,
446000,Health and personal care stores,,,
447000,Gasoline stations,,,
448000,Clothing and clothing accessories stores,,,
454000,Nonstore retailers,,,
4B0000,All other retail,,,
481000,Air transportation,,,
482000,Rail transportation,,,
483000,Water transportation,,,
484000,Truck transportation,,,
485000,Transit and ground passenger transportation,,,
486000,Pipeline transportation,,,
48A000,Scenic and sightseeing transportation and support activities,,,
492000,Couriers and messengers,,,
493000,Warehousing and storage,,,
511110,Newspaper publishers,29,0.5,Printed products
511110,Newspaper publishers,27,0.5,"Pulp, newsprint, paper, and paperboard"
511120,Periodical publishers,29,1,Printed products
511130,Book publishers,29,1,Printed products
5111A0,"Directory, mailing list, and other publishers",29,1,Printed products
511200,Software publishers,,,
512100,Motion picture and video industries,,,
512200,Sound recording industries,,,
515100,Radio and television broadcasting,,,
515200,Cable and other subscription programming,,,
517110,Wired telecommunications carriers,,,
517210,Wireless telecommunications carriers (except satellite),,,
517A00,"Satellite, telecommunications resellers, and all other telecommunications",,,
518200,"Data processing, hosting, and related services",,,
519130,Internet publishing and broadcasting and Web search portals,,,
5191A0,"News syndicates, libraries, archives and all other information services",,,
52A000,Monetary authorities and depository credit intermediation,,,
522A00,Nondepository credit intermediation and related activities,,,
523A00,Securities and commodity contracts intermediation and brokerage,,,
523900,Other financial investment activities,,,
524113,Direct life insurance carriers,,,
5241XX,"Insurance carriers, except direct life",,,
524200,"Insurance agencies, brokerages, and related activities",,,
525000,"Funds, trusts, and other financial vehicles",,,
531HSO,Owner-occupied housing,,,
531HST,Tenant-occupied housing,,,
531ORE,Other real estate,,,
532100,Automotive equipment rental and leasing,,,
532A00,General and consumer goods rental,,,
532400,Commercial and industrial machinery and equipment rental and leasing,,,
533000,Lessors of nonfinancial intangible assets,,,
541100,Legal services,,,
541200,"Accounting, tax preparation, bookkeeping, and payroll services",,,
541300,"Architectural, engineering, and related services",,,
541610,Management consulting services,,,
5416A0,Environmental and other technical consulting services,,,
541700,Scientific research and development services,,,
541800,"Advertising, public relations, and related services",,,
541400,Specialized design services,,,
5419A0,"All other miscellaneous professional, scientific, and technical services",,,
541920,Photographic services,,,
541940,Veterinary services,,,
541511,Custom computer programming services,,,
541512,Computer systems design services,,,
54151A,"Other computer related services, including facilities management",,,
550000,Management of companies and enterprises,,,
561300,Employment services,,,
561700,Services to buildings and dwellings,,,
561100,Office administrative services,,,
561200,Facilities support services,,,
561400,Business support services,,,
561500,Travel arrangement and reservation services,,,
561600,Investigation and security services,,,
561900,Other support services,,,
562000,Waste management and remediation services,,,
611100,Elementary and secondary schools,,,
611A00,"Junior colleges, colleges, universities, and professional schools",,,
611B00,Other educational services,,,
621100,Offices of physicians,,,
621200,Offices of dentists,,,
621300,Offices of other health practitioners,,,
