TAZ,aer,amf,con,edu,gov,hss,mfg,osv,pbs,rcs,twu,wt
1004,789,11,2008,5984,53,7140,491,1311,6038,7389,647,614
1005,1481,136,3986,5986,15568,12128,747,4142,16809,20118,1076,2110
1006,749,280,4009,5331,1097,6786,12090,1699,11009,7878,1071,2179
1007,1207,21,4799,3839,1853,10446,4824,2884,28066,17577,2321,5046
1008,3366,0,651,19392,55,20389,132,2398,13044,14364,858,549
1009,1142,3,972,919,5819,2316,260,5206,66579,8225,610,1117
1010,648,6,3534,6103,521,7610,3935,3152,25963,12959,2919,3233
1011,302,13,1594,12028,3848,32111,357,2193,10271,4752,759,954
1012,445,17,1176,2577,974,13555,873,1977,3592,6614,1671,474
1013,187,7,766,3196,2606,5353,1527,896,4041,6067,1366,1382
1014,1585,5,2391,12745,2511,16231,1031,3760,22201,13242,360,1543
1015,1131,228,1783,9588,1263,9757,1609,2345,22063,7604,724,1674
1016,3063,155,3141,6218,2734,3680,8659,1873,10626,15376,1994,4505
1017,854,1,5270,4684,1915,9932,5867,2175,21275,14262,2309,7150
1018,807,9,2617,5398,1920,9371,651,2449,22803,8367,585,1313
1019,1160,76,3499,3430,1304,11657,2988,2263,13514,17362,1192,2228
1020,445,30,3106,5783,2052,17360,4188,2575,8509,12219,2083,2698
1021,875,77,2723,3303,1128,7337,6554,2055,5011,17437,876,1604
1022,727,410,2480,4883,1848,5988,3054,1305,3592,10752,2719,1196
1023,347,6,1192,4300,1536,12843,4648,1131,5989,7651,966,1294
1024,525,148,2491,4054,1707,6592,5395,1423,10638,12350,2207,6322
1025,529,908,1258,2996,1680,12334,6792,1513,5931,6988,1522,1566
1026,1430,178,2794,4261,2785,12958,1619,2383,8352,14318,1230,1317
1027,261,48,767,346,192,566,80,241,962,1300,207,58
1028,527,80,3918,6521,2016,3854,3215,1975,8936,9755,1539,2912
1029,722,193,3008,3704,1544,4200,3417,1897,7944,9235,944,2332
1030,1411,36,2207,3773,1947,8414,1561,1417,5483,11219,1344,1467
1031,1271,0,3051,18521,3207,34620,5852,3040,17874,14443,2423,2272
1032,369,122,1558,4415,1702,8296,6164,1049,5636,11539,1189,1043
1033,315,144,2386,4311,2515,4134,3341,1221,4108,9999,1180,2404
1034,1016,66,2280,4603,1440,6984,5614,1771,15164,10232,4735,3788
1035,537,120,2251,5376,1691,6769,6847,1689,6524,9848,1689,2085
1036,875,211,1481,3740,2127,4646,6452,739,2911,3864,956,1001
1037,756,66,2822,3133,759,5111,7565,1501,11081,7967,3162,2009
1038,364,0,755,5995,2192,9669,2412,1270,6522,4930,508,687
1039,1087,41,3105,11396,1292,17225,11129,3498,71766,18754,2653,7343
1040,961,33,2890,3996,1856,13010,8611,2509,33035,21067,1231,5505
1041,984,4,3536,3644,1140,10565,1637,2098,13581,8084,344,579
1042,1344,45,1269,30444,2936,11624,2995,2606,42990,15892,1057,2766
1043,468,1,2044,2479,1797,6822,1835,2286,7267,9694,2104,1549
1044,354,2,1554,5960,2069,5846,2227,1242,6572,5407,1214,1500
1045,960,22,2365,6151,4230,16376,9491,2378,7900,10748,1061,1989
1046,748,257,2459,5850,1502,5218,4086,1037,6846,6084,647,1161
1047,2125,262,3989,10022,2812,17705,9330,4526,14627,16074,1263,3050
1048,120,0,888,3390,1001,8423,4965,1006,3646,4810,420,566
1049,789,110,3323,4558,1381,13267,6615,2357,12531,20185,3387,3530
1050,864,855,4923,5593,2212,7042,22402,2479,25829,11090,2396,7400
1051,1627,535,2809,5433,3031,6629,7921,1771,16882,9056,436,2495
1052,869,596,1570,18049,3423,7122,5560,2364,11652,13708,731,1455
1053,1016,52,3268,6043,1877,28139,10850,5848,88888,23595,1484,8822
1054,686,1289,1869,5172,2153,6580,21046,2125,12670,12051,880,2420
1055,85,2527,2482,7311,372,2621,16328,1454,5151,4903,1738,2280
1056,605,508,5707,4718,787,7955,17297,3424,22888,16888,6339,9657
1057,902,154,2634,8217,4611,35122,17138,4548,28491,18887,1439,4897
1058,1511,287,2464,7412,1132,13385,21772,3583,35596,16805,2064,5151
1059,435,747,2725,3709,348,1033,5788,1348,5061,6449,795,1828
1060,504,82,1987,5405,15056,51677,7596,3894,15806,9285,3008,1901
1061,507,1548,1997,2751,435,7491,5680,1146,7914,7829,1465,2161
1062,768,345,1904,10085,2174,11685,12354,2791,12766,14664,832,4208
1063,966,91,1946,3494,1499,4407,8773,989,6621,6409,298,1314
1064,479,41,632,41058,3481,30630,1388,2927,20386,14760,991,1250
1065,629,58,994,6402,508,7806,3333,1163,10833,8251,3011,2612
1066,342,169,1871,3001,448,2325,2451,1220,7398,7366,279,1121
1067,805,129,1243,2760,509,4075,5522,1062,5159,8124,244,697
1068,650,22,2667,7818,1186,16817,13846,3493,60020,29965,1482,8975
1069,1648,17,2950,5295,5026,11931,13542,2549,38729,15934,2046,5968
1070,1018,23,2908,2392,676,5065,8709,2138,14424,16413,2827,6116
1071,1888,8,2414,5394,1360,12545,916,3459,24496,12598,481,2365
1072,622,10,3474,4733,1795,19457,8976,3726,17692,18994,1262,5369
1073,198,143,1686,2169,1045,3849,7772,1015,3233,8157,693,1095
1074,638,228,2835,1164,596,2551,9649,1691,6743,13553,728,1258
1075,333,50,2759,4619,877,5131,12804,1372,10047,11699,648,2868
1076,530,27,2318,6803,4225,14056,9648,2292,9118,11678,942,1736
1077,407,25,1085,2600,1013,5169,5106,1621,5757,11919,860,1454
1078,239,19,2528,4411,1408,10354,24817,2417,15424,13164,4656,3881
1079,831,167,2175,864,1644,5440,12281,1927,15765,17746,3356,7309
1080,695,56,4257,2306,1396,14469,12130,2503,29174,19854,2594,4960
1081,1723,2,675,4700,605,5825,7475,1452,19429,9463,378,791
1082,345,24,664,167,898,7936,6213,1924,3725,10073,846,1671
1083,421,149,1806,1752,1521,2836,7806,1546,8341,11049,18496,3358
1084,292,113,810,399,1221,5588,4216,1778,5921,10272,2542,1615
1085,133,2,915,445,984,5007,5594,1243,7383,8444,1813,979
1086,81,5,472,630,90,1653,5230,862,3616,4558,571,510
1087,186,14,106,1847,150,2843,472,569,1660,2849,46,457
1088,37,0,873,547,350,1391,4816,812,903,3603,1901,1728
1089,3412,1,1308,17562,20239,23391,5825,4514,56266,20336,5444,2010
1090,76,120,1119,856,867,14052,4828,1026,4216,3724,1683,2204
1091,496,4,1128,849,934,5344,2971,1187,4593,6715,415,1343
1092,474,222,1979,3095,3130,2613,5744,1047,3838,3747,1038,1521
1093,397,18,2217,4494,1581,10235,14362,1947,6848,14539,1816,2192
1094,1350,99,2899,2770,1114,2916,4051,1814,4598,8556,2178,2340
1095,966,209,2609,4312,2574,6036,5209,1448,6351,9520,754,1544
1096,363,353,841,3764,1102,4914,2072,1587,5654,7953,999,984
1097,842,38,2431,6900,1393,6361,17261,2457,15311,10718,1173,4016
1098,555,7,3967,9258,1749,12274,3312,1978,33262,16182,2519,3260
1099,3183,41,2388,7081,15533,17295,2770,2839,23181,8329,1015,1636
1100,795,10,3095,13165,7170,19718,4724,4256,16219,13626,1105,4235
1101,1050,223,3323,3685,980,2580,4733,1837,7139,8353,2385,4048
1102,400,174,2207,5455,632,3336,13137,1414,19603,7525,445,7847
1103,971,287,2178,4993,1736,6495,8648,1892,6409,10537,1957,3039
1104,443,86,4011,3350,1392,14216,9526,2016,22844,9296,1879,3668
1105,489,24,1891,25618,376,14531,8632,3612,16008,10042,1620,6742
1106,433,25,865,4045,1467,24815,2031,1685,10989,6338,1838,1358
1107,4934,174,8306,6240,6957,20492,1428,5856,102358,23272,3881,2714
1108,1464,11,2780,5300,1033,25724,4699,4256,28888,17949,611,4785
1109,1294,38,2387,4934,1357,7828,12260,2794,47941,16029,823,8127
1110,1924,1,1793,6030,3233,13841,5636,3097,48376,28078,6983,9711
1111,801,382,3946,5368,2064,9679,8412,3485,24690,12112,5515,6521
1112,611,375,3131,5931,2102,3661,6509,1528,4490,6208,3541,1206
1113,822,183,2737,5009,1477,7318,5475,1745,8297,13081,1178,3178
1114,1666,148,2037,4501,1572,6042,7582,1232,4653,11319,3039,1871
1115,1543,51,1992,3307,1033,7355,3476,1227,13488,10118,1473,3230
1116,4316,81,7771,9617,5997,26093,8640,5205,56998,23853,9276,9438
1117,446,26,2004,3843,1089,5591,3052,1665,6663,14550,1373,1016
1118,534,176,2569,4887,1044,6379,2425,1616,5189,10764,1558,1329
1119,748,26,2178,3927,1775,7824,2395,1186,9393,10085,1163,2115
1120,1398,31,3377,4671,12911,13231,6712,2360,20003,11289,2049,1668
1121,1279,78,4836,7579,1007,9268,4004,3024,11432,17413,1495,3146
1122,1305,14,5435,10073,1048,35110,9151,4445,18484,15481,4007,5682
1123,201,151,1963,3788,945,4985,1723,1080,2785,6141,878,654
1124,422,81,1973,1859,257,3364,1704,943,12842,5204,497,1075
1125,550,59,2957,4540,876,3515,5108,1458,6417,10956,1807,1948
1126,2748,59,2990,6761,1291,6636,3006,2370,11049,17964,2269,3340
1127,75,61,448,2289,632,6331,885,634,1791,4424,179,323
1128,884,88,4121,5315,1378,8208,9338,2123,17223,16555,10825,7466
1129,509,10,5634,5260,2453,5973,5244,2281,15115,9486,2534,4167
1130,2455,256,5235,5696,1240,11701,5910,3076,51287,18547,1713,11193
1131,2602,36,2950,14454,1902,38553,2375,4201,60043,24489,805,3813
1132,1160,44,1569,2690,1198,8879,1787,1576,9653,12708,399,1217
1133,2170,238,4698,3460,438,8798,3671,1949,13451,17693,2888,4060
1134,9720,351,2534,4994,9384,12360,7098,3468,42607,16028,7599,6904
1135,282,29,2188,3451,454,1889,2228,826,4049,5807,495,1327
1136,1973,122,4130,17033,11448,10454,11033,3427,22145,20719,8147,2996
1137,1307,141,3463,1283,3458,14280,2148,1600,14290,11055,969,1412
1138,1108,326,3093,3446,546,18354,4830,2757,46268,23826,705,3018
1139,2174,64,5862,6981,567,14250,7253,3322,25773,23551,2777,6416
1140,1224,15,1863,12035,601,8270,4021,935,7389,6094,2227,882
1141,1688,19,3710,3963,5297,10103,7124,1883,25906,11245,5752,2620
1142,1874,19,1887,597,18671,10440,920,2595,13372,25290,3643,1658
1143,1410,20,2480,44369,2402,9450,687,1488,13518,20633,1265,1115
1144,1310,4,718,727,307,6068,389,1164,13203,16416,140,373
1145,1509,39,1853,926,203,9248,1506,1617,17073,13882,458,1212
1146,4808,87,15729,6520,3856,15946,4669,4767,47668,185710,18807,5711
1147,751,19,1306,200,79,531,475,439,3815,9935,528,220
1148,1998,52,3945,1719,3715,9461,2459,2289,15293,23913,1105,2266
1149,1372,146,2289,624,1136,1271,1848,504,2901,6324,1041,244
1150,1221,94,3230,626,102,1973,2825,1538,23165,20181,2041,3343
1151,2600,182,4469,16015,6378,15712,6179,3279,27640,32702,5104,3948
1152,1678,108,1847,556,351,2891,1747,883,6315,7287,2383,772
1153,1284,198,4567,527,1508,3193,3658,1222,5535,12268,6154,4599
1154,242,9,882,333,24,6941,59,873,6284,8880,127,273
1155,439,37,1177,455,305,1827,536,723,4956,6742,1729,1499
1156,1232,86,4845,286,1566,5960,2589,1765,8479,11205,3283,2303
1157,865,104,3840,85,637,1248,1813,931,4467,7605,3092,1229
1158,470,27,3670,7602,949,3715,7803,3142,23091,9245,2099,8099
1159,385,35,2844,4835,1531,10641,4507,2239,23499,14348,8314,7689
1160,313,176,2461,4951,1066,5368,5109,2062,12163,15989,2287,3247
1161,550,37,1326,6100,1283,5168,1953,1023,9528,5452,353,1123
1162,573,87,1088,8676,6414,9123,1511,1966,45143,10792,4320,1611
1163,465,10,411,2643,41,2058,1608,585,6026,4470,1886,2110
1164,648,9,1842,4254,2428,7085,3064,1171,15507,11947,11155,4969
1165,551,10,1099,3137,2270,4392,2182,876,4749,6282,4703,3278
1166,462,42,1600,3581,1494,4188,1770,1305,5747,3969,1544,2458
1167,767,49,1259,3904,1196,4102,6573,1648,22969,7493,4963,6737
1168,567,0,639,2570,4045,3636,389,1705,3930,37730,929,463
1169,1021,619,3109,7613,2747,7328,1487,1810,9123,12990,2069,2446
1170,730,9,2752,5378,4346,27684,3184,1718,17370,9986,1321,5215
1171,3111,17,3756,2819,1588,7700,10609,1585,19377,13210,4744,11486
1172,365,21,1530,3171,2163,3345,3260,1731,9630,8065,1566,3226
1173,534,9,1975,4464,1176,6441,5119,1838,9216,7266,2084,2848
1174,977,13,1222,5013,1296,5546,4187,1504,18240,6046,1212,5245
1175,1099,137,1906,4376,995,4421,4157,2362,16001,12140,936,5770
1176,728,3,1157,7847,1633,8628,1238,1537,15611,23002,1608,2049
1177,712,48,1482,4689,1186,9844,907,1523,9882,7384,1023,3662
1178,82,46,1849,7124,4288,9864,4876,1605,5222,5047,1291,1849
1179,340,7,1680,4463,1337,4786,6073,1444,7469,10072,2578,2841
1180,1357,128,2370,3846,1677,10288,2505,2249,11339,9632,1500,2089
1181,1454,413,1619,3208,4029,7945,1966,2273,6514,12941,567,1813
1182,907,12,1695,5835,1567,7111,2082,1387,8948,12276,693,1734
1183,2207,34,2535,4638,971,7318,1123,1643,10476,9553,1422,1148
1184,466,23,1450,8131,4050,11274,6944,1177,7827,5739,3140,3534
1185,658,1,2483,3090,1329,5648,1839,1416,4643,8806,3042,1168
1186,349,54,1741,5805,1079,4520,2344,1365,4530,7189,1659,1514
1187,1473,14,2006,5437,1980,19582,2709,2548,29968,17295,1178,1957
1188,768,149,2767,6351,2841,7786,3214,1811,7655,16177,775,3983
1189,1342,9,958,4606,1236,13978,695,2443,25328,14460,509,1668
1190,578,165,2480,4926,1314,7576,3939,2109,11139,12985,2028,2937
1191,585,75,2955,6021,1295,4709,3099,1989,9145,10447,1652,2504
1192,909,45,3086,4785,1547,5152,12451,2310,37991,12906,3641,8034
1193,2544,54,2570,7185,3395,16994,4954,3532,36647,11294,2198,4997
1194,50,2,918,5283,2233,6120,2355,1464,8791,10422,10948,2643
1195,309,0,2730,5241,3162,4451,6372,2212,10512,10446,1975,3963
1196,1001,4,2397,5066,1779,12250,3302,3018,19383,8430,901,2833
1197,318,30,957,4456,1254,4742,788,1730,3789,4829,652,719
1198,370,2,2555,3718,1572,4443,4841,1498,7345,11036,3036,4375
1199,566,18,1617,4304,1465,4732,689,1226,10506,8286,1216,1104
1200,1160,207,2734,4600,1208,2656,686,1244,5387,6881,1382,1207
1201,484,92,2202,4259,1238,3129,281,1037,3039,8474,1052,328
1202,649,4,1287,3245,3042,8063,469,1127,5101,7854,931,556
1203,876,19,1972,5905,2110,15979,3273,1502,7413,8313,1903,2150
1204,1943,118,1551,2635,639,2736,360,748,2600,4061,728,361
1205,942,40,1727,2470,514,2877,247,1126,4093,9188,575,442
1206,8,6,317,10,1100,1120,1286,648,2656,2788,17384,597
1207,399,0,204,9872,87,8897,459,633,2202,2721,983,567
1208,247,5,1169,3314,1120,5291,1178,1241,6253,6689,811,934
1209,282,0,840,7795,3124,10330,1961,1923,6823,7103,2202,1240
1210,1128,14,3025,11483,4306,7367,7076,3007,13864,10121,666,6557
1211,408,18,1379,2794,2216,2836,2639,1397,21578,14074,4680,3614
1212,448,340,2074,7694,4205,9743,2818,1451,6427,7676,3871,3343
1213,813,16,1504,18023,4502,16428,4778,2361,19570,13175,2875,2540
1214,511,43,1072,3167,980,4586,2459,1049,4851,5054,1410,1731
1215,1075,61,2323,6394,1122,5328,4066,2294,28247,6139,562,3543
1216,869,410,1461,3728,2445,6872,5841,1222,18507,6773,1470,4997
1217,676,60,1537,3585,1145,11747,5287,1876,19561,17968,1957,4002
1218,655,948,3036,8368,1383,3649,4170,1425,5986,9781,2604,4518
1219,939,18,2047,4441,33447,23139,1465,2331,16188,5149,1432,1824
1220,1510,154,1844,21218,1272,8215,4188,2888,36676,16851,1077,3249
1221,454,23,2370,5815,943,6915,3696,1774,9159,8453,2606,2188
1222,325,21,443,4821,2125,4562,528,1007,11152,8207,2386,1245
1223,390,13,2521,3610,1495,4426,7908,1618,10213,8466,2756,5781
1224,1388,167,3154,5632,1209,14364,7666,3312,39342,19306,1224,4749
1225,719,2232,1265,3393,494,2407,1283,284,2251,1377,1147,583
1226,405,228,2444,7402,2324,10914,879,1027,8889,13570,1159,584
1227,947,12,951,6964,2467,11023,3285,2517,10902,9939,1511,945
1228,1795,168,2844,7118,3208,6881,6107,2054,11636,11745,1002,2612
1229,2200,6,3004,7857,1602,5003,1683,3703,18366,9331,2417,1816
1230,1695,2,3925,6284,2899,8934,2752,1780,9273,13794,3834,1693
1231,1722,126,2187,11219,2135,8414,1049,2827,19692,9475,1336,4365
1232,303,5,917,4113,157,6716,105,1246,5279,9946,591,676
1233,992,41,1746,3951,1193,6771,1747,2218,6372,6708,547,1135
1234,923,107,2675,4491,1281,10948,9919,1832,11236,9703,1272,5386
1235,384,464,2642,4193,423,3744,1827,978,7216,5809,1049,2595
1236,566,94,5963,5476,10486,6001,11946,1717,12886,8302,4102,6607
1237,454,0,1689,3342,355,2367,806,1515,4086,5915,316,746
1238,772,12,2968,1630,130,11698,1278,2948,6436,10339,2633,2810
1239,7091,19,11633,22221,86559,38008,4050,18146,267590,71791,4807,6695
1240,15728,2,780,9059,262,12578,196,8528,17198,23371,127,497
1241,300,0,334,3841,310,15681,173,1196,5087,5995,168,357
1242,498,0,548,3685,50,7740,43,945,3371,3082,63,115
1243,523,453,1462,4147,4194,12215,3505,1802,6865,11226,1588,1878
1244,1942,7,2067,8901,5976,21937,6603,2880,27117,9577,3908,3110
1245,608,52,1635,4846,916,5429,5565,2235,7925,11930,686,585
1246,691,4,2060,4854,595,8201,847,2232,6444,8760,535,1162
1247,184,1,750,513,74,11600,265,831,2483,3486,1887,441
1248,762,618,2604,5666,1156,5659,1112,1152,4314,6040,890,789
1249,39,2,681,869,361,6486,126,1405,1529,1643,325,480
1250,366,0,2183,2066,584,8600,593,1477,4650,6044,3038,1051
1251,275,1,1409,994,67,9578,289,1103,4234,5812,195,438
1252,159,2,3309,816,86,13075,4667,1594,4983,8277,869,4284
1253,11,0,664,479,55,5478,1310,1095,2109,7666,2980,2232
1254,5384,7,1444,8488,425,46767,668,15040,30152,32724,519,1751
1255,725,5,2919,769,295,10352,8323,2620,7299,7455,1677,1918
1256,808,3,1944,20536,8443,15876,13240,2817,23210,5758,2705,2183
1257,659,69,1671,4439,1022,7281,5620,1875,10448,13736,839,1635
1258,285,245,1318,6542,728,2750,2654,941,2916,6325,1336,1373
1259,1660,143,3146,19443,1957,16058,7725,4366,35126,22737,2664,7099
1260,3231,11,1574,2070,1343,6292,5784,1348,4381,10891,1288,1192
1261,438,583,1369,4722,2544,4692,3478,1052,4916,6527,1755,645
1262,296,5,2967,3202,1420,4800,9852,1924,8006,8222,3747,1981
1263,579,379,3232,3766,1875,4182,7506,2126,6303,11023,1361,3773
1264,1038,73,2814,5945,6487,7850,6250,4933,14250,19851,4170,4354
1265,1467,467,2365,7229,2960,7499,7919,2787,8792,18654,1703,2926
1266,350,3,299,627,1036,3075,514,518,3072,5693,201,200
1267,141,0,1166,5014,177,26081,138,733,3346,4280,526,167
1268,2486,13,2133,177357,20324,14684,2436,4312,25676,15517,57120,2207
1269,1279,108,1210,15567,1235,15305,2539,3215,34507,22244,1558,3930
1270,920,14,6810,8513,2518,10060,3073,4172,10693,13065,1843,2537
1271,219,1,1295,789,82,5900,94,556,4045,6393,509,268
1272,663,390,1639,2679,987,2154,1159,778,3396,6372,978,1683
1273,1063,0,2640,13711,34391,25618,1954,3908,20832,12921,3692,2695
1274,1324,206,4991,10275,7013,11831,5820,5157,29388,21982,3973,4757
1275,1156,253,2319,10732,7148,14672,8913,2597,10643,15620,2286,1404
1276,637,285,1536,4748,1479,5638,2986,1800,7821,9198,3668,3391
1277,723,218,1644,5409,1305,3857,1681,1693,5106,11582,1762,2705
1278,523,65,1748,3352,3071,6258,1438,1061,4479,3402,702,977
1279,778,126,3068,7750,1255,9374,6555,1941,11626,14707,2261,3216
1280,205,24,1206,2221,438,6425,636,1632,3736,3005,1147,693
1281,1442,48,3642,7756,2905,16069,1089,3416,14204,8858,1798,2788
1282,1528,263,2577,7186,2160,8880,2611,3057,13323,11622,1850,1606
1283,1983,31,3911,10794,8239,19126,1737,5254,29708,19319,2524,4328
1284,1355,19,1880,5552,1647,37662,1821,4900,15287,12535,1310,6356
1285,987,6,4583,3658,316,9920,5429,2661,20296,12239,3396,5465
1286,671,2,4449,7654,10834,16553,3482,3469,16757,13773,1142,3214
1287,2235,2,2201,9468,772,4022,486,1929,10817,8199,1221,1464
1288,2802,0,2009,9144,5368,10273,3031,2303,17692,18479,5917,2031
1289,355,6,1145,3793,217,4555,165,1509,3961,8584,368,520
1290,381,0,1787,3915,132,4640,360,1888,5320,6531,530,639
1291,314,12,2600,3491,806,12474,399,2444,6332,7176,1701,1033
1292,758,7,1104,2748,1054,5137,524,1882,4885,9708,2499,1348
1293,752,348,1891,7534,512,6406,4645,2016,32496,11236,2182,6764
1294,707,23,1958,15454,1003,10155,551,1638,8010,8161,581,503
1295,2231,1574,5939,6195,2661,8609,2108,2560,10208,15641,1277,1313
1296,665,42,2656,4728,5319,6806,1866,1644,5684,8674,1880,2170
1297,382,0,1658,7350,430,3010,150,1478,3382,12077,875,622
1298,437,6,1860,4639,480,5241,5628,1395,12247,6991,1676,3936
1299,487,0,1807,3828,1485,11255,873,2403,5483,9203,1159,602
1300,784,3,8003,4726,1021,6677,13112,2772,13195,12540,4029,7748
1301,99,1,1576,817,31,5041,387,805,1719,2279,388,442
1302,503,4,5736,1492,174,21566,2391,3964,13481,15325,2396,3657
1303,561,0,1292,566,75,9029,395,1317,3466,7173,1159,1087
1304,720,1,1140,3409,66,8543,1178,880,2478,4590,297,524
1305,482,0,828,1136,73,12485,622,1490,4579,6209,653,683
1306,339,0,537,31049,205,6001,133,2644,4786,6212,129,142
1307,267,0,881,6594,394,22423,210,1179,2894,5360,1567,172
1308,41591,29,17776,23610,12721,49535,18086,32547,552002,172977,10902,60031
1309,1611,15,1087,1295,56075,16159,971,2319,9255,20135,446,1039
1310,318,0,2308,692,47,5184,223,1669,3083,5366,1030,490
1311,486,1,3080,1171,200,12976,407,1640,5862,10820,1231,460
1312,21,0,422,1459,27,4168,953,430,807,2588,2271,461
1313,671,0,189,871,86,11540,81,669,1909,2438,61,189
1314,172,3,1836,4140,120,11658,77,1455,4503,4930,651,381
1315,947,1,598,384,60,7991,580,649,2874,9603,174,437
1316,276,1,5192,467,31,2786,2909,1393,4254,7484,900,3184
1317,130,14,1557,1242,45,7824,650,1112,3952,6216,528,1067
1318,584,0,253,1821,385,8499,102,1327,2618,4412,52,180
1319,28,0,129,334,38,5610,68,532,1670,3213,97,264
1320,226,0,271,885,137,26791,19,433,2089,4473,2006,89
1321,269,1,1397,1035,57,3698,145,1652,3476,5681,433,644
1322,209,2,1646,518,1001,19587,661,1830,8919,10696,27664,1424
1323,1786,3,878,325,36,2004,320,741,1460,5614,278,252
1324,183,0,1274,368,50,10064,2012,616,1532,3841,370,1568
1325,59,2,1710,3540,127,26509,1494,2381,7860,6154,677,2211
1326,942,3,5402,2609,117,12297,3101,2743,14110,11749,2131,5471
1327,303,10,481,464,328,4907,254,1161,1418,3310,840,262
1328,2610,75,4538,10744,2059,37837,1535,15754,208141,37996,7681,10190
1329,107,24,3575,1315,90,14306,3658,1982,5174,7993,3366,8268
1330,1171,3,1000,571,309,4743,825,1134,5516,5176,2123,950
1331,112,24,1296,440,1278,12145,1187,1607,4409,7990,2130,1018
1332,28,1,717,2149,58,12305,176,1171,4347,5451,1228,362
1333,99,0,416,6392,139,8053,330,721,1609,4322,140,426
1334,132,0,3361,1443,895,8943,1143,1243,3979,3459,2595,606
1335,34,0,595,799,27,4888,947,916,2482,2669,317,719
1336,540,5,8468,1337,96,7198,3373,2338,9884,10282,9645,2015
1337,65,0,921,1233,534,3624,324,1245,3006,7614,7610,425
1338,656,17,11504,2732,1187,8352,7877,2798,23543,11651,9760,9292
1339,224,0,782,797,122,17002,361,1992,7746,6271,2840,298
1340,721,100,2246,7652,5845,6611,4264,1564,9924,10528,1363,1177
1341,229,92,5023,4504,7,2968,5449,2031,9755,10501,8712,9611
1342,660,17,1114,2556,295,2206,955,730,4456,6512,184,818
1343,573,11,1514,7201,383,3762,5080,1596,16217,9147,2532,1692
1344,1065,27,1630,7726,6296,27168,2988,1965,18053,18651,1245,1824
1345,128,2,954,1585,11,1685,1221,509,2362,3560,636,229
1346,987,52,4477,8567,8083,5931,7658,2317,25670,19836,5753,6877
1347,453,7,1365,5978,553,4321,1390,844,19069,9652,383,1382
1348,1425,18,5156,14816,12269,15755,2102,3715,28647,13992,2415,3507
1349,468,356,2781,2269,288,1956,3591,842,4693,8743,655,3133
1350,1501,184,3970,13038,42499,28845,2921,4177,45153,29766,2969,6081
1351,407,289,2277,4251,24076,2815,1712,967,9590,8170,413,1374
1352,1905,38,2442,5891,1357,5653,2161,2121,26926,17692,412,3399
1353,666,31,2458,2577,803,2311,1722,830,8012,8109,1328,1549
1354,1103,260,2038,13138,2249,35686,23458,3293,36652,19288,1228,5878
1355,1182,16,1575,5248,16,15934,1918,1890,15680,15548,1520,1798
1356,505,196,1843,2123,1105,1351,10601,729,8869,5510,6369,5532
1357,661,132,2014,4850,1531,11579,12136,1785,16021,15139,2220,3988
1358,1665,78,2764,5540,3359,21519,5628,2883,14849,25155,1957,2480
1359,364,301,1957,3099,195,2977,5575,1102,4349,7564,1930,1116
1360,57,45,1073,2454,316,1340,7309,435,2165,3320,669,984
1361,396,14,1600,3572,3108,10820,7458,1469,7559,13612,1044,1738
1362,4286,5,3658,8013,12945,36726,2145,3568,72524,19922,1247,3108
1363,2113,50,1790,4596,37,7625,390,1891,29664,17642,2732,3759
1364,770,117,5636,4548,315,7327,6086,3446,43847,17136,13826,7573
1365,355,46,2269,2796,91,4967,2241,714,19981,12814,317,2279
1366,3165,61,5190,1962,296,5801,11825,1376,14336,16142,2795,9066
1367,624,11,1663,5614,4455,16185,768,1662,12008,19722,727,1177
1368,247,336,1644,3736,311,1634,5244,721,4006,6499,3166,855
1369,491,54,2244,2480,313,3133,6732,1464,5304,8637,2517,1963
1370,1449,141,4664,1949,280,1871,8258,1521,24383,11092,2378,6424
1371,2106,666,4250,3789,392,4508,3895,1514,15389,14520,3472,5334
1372,226,56,1425,4890,1768,9459,7455,1320,6655,8623,1145,1571
1373,603,956,2589,5752,2537,4795,9581,1725,6579,12046,1652,2233
1374,744,101,1234,2477,730,7136,2273,1690,10989,14659,558,2009
1375,1624,12,2006,4144,3307,11863,5973,2295,13084,14808,5019,2361
1376,833,45,2993,3187,946,5425,4831,2106,28610,13609,1886,5158
1377,490,4,757,2642,789,6881,4445,1715,14611,12101,1116,1305
1378,235,32,1006,1872,448,7020,7283,1019,6772,5797,5779,2091
1379,6205,295,3526,13066,15552,17956,9505,4534,54291,14377,5914,6320
1380,968,78,5674,3559,1942,8941,12205,1836,16251,10682,3275,7943
1381,1435,9,1380,9600,320,51066,5410,1496,4856,6271,1300,1636
1382,260,16,621,5213,1127,7896,5056,1341,4494,8471,249,958
1383,1994,49,1596,6770,1693,19071,13972,3220,35435,21175,1923,6685
1384,1997,85,2538,3504,1182,8232,6742,2315,22417,17870,2740,7035
1385,724,17,1468,2630,1096,5727,5217,1728,5900,13213,661,1956
1386,371,35,2503,5895,201,9571,5599,1724,10898,7541,1667,2828
1387,405,73,2272,2351,615,5551,7054,1557,8042,8550,2864,2143
1388,769,37,1250,2333,634,4937,3160,1476,21408,10872,6149,2156
1389,839,12,2614,4215,552,13076,4200,2233,22750,9184,955,2822
1390,1393,15,1298,3571,1504,7789,2042,2701,38229,16304,1348,4359
1391,925,118,1636,2530,750,7646,816,2237,16015,14214,960,1400
1392,2046,16,2250,33812,20627,21705,2738,5775,49960,17965,1109,1635
